employee_name,job_role,work_category,work_hours,month
Employee 0,projmgr,Remote,7.0,2
Employee 0,projmgr,Stationary,6.5,2
Employee 0,projmgr,Stationary,4.5,2
Employee 0,projmgr,Remote,5.5,2
Employee 0,projmgr,Stationary,8.0,2
Employee 0,projmgr,Stationary,5.0,2
Employee 0,projmgr,Remote,6.0,2
Employee 0,projmgr,Remote,7.5,1
Employee 0,projmgr,Stationary,4.5,1
Employee 0,projmgr,Stationary,4.5,1
Employee 0,projmgr,Stationary,7.0,1
Employee 0,projmgr,Remote,7.0,1
Employee 0,projmgr,Stationary,5.0,1
Employee 0,projmgr,Stationary,7.5,1
Employee 0,projmgr,Remote,6.5,1
Employee 0,projmgr,Stationary,7.0,1
Employee 0,projmgr,Stationary,5.5,1
Employee 0,projmgr,Stationary,7.0,1
Employee 0,projmgr,Stationary,7.0,1
Employee 0,projmgr,Remote,5.5,1
Employee 0,projmgr,Remote,5.0,1
Employee 0,projmgr,Remote,5.0,1
Employee 0,projmgr,Stationary,7.0,1
Employee 0,projmgr,Stationary,6.0,1
Employee 0,projmgr,Stationary,5.0,1
Employee 0,projmgr,Remote,8.0,1
Employee 0,projmgr,Stationary,4.5,1
Employee 0,projmgr,Remote,8.0,1
Employee 0,projmgr,Stationary,4.5,1
Employee 0,projmgr,Stationary,5.5,1
Employee 0,projmgr,Stationary,6.0,1
Employee 0,projmgr,Remote,6.5,1
Employee 0,projmgr,Stationary,7.0,1
Employee 0,projmgr,Remote,4.5,1
Employee 0,projmgr,Stationary,8.0,1
Employee 0,projmgr,Remote,6.5,1
Employee 0,projmgr,Stationary,4.5,12
Employee 0,projmgr,Remote,7.0,12
Employee 0,projmgr,Stationary,7.5,12
Employee 0,projmgr,Remote,7.0,12
Employee 0,projmgr,Remote,8.0,12
Employee 0,projmgr,Remote,7.5,12
Employee 0,projmgr,Stationary,4.5,12
Employee 0,projmgr,Stationary,7.5,12
Employee 0,projmgr,Stationary,6.0,12
Employee 0,projmgr,Stationary,6.5,12
Employee 0,projmgr,Stationary,4.5,12
Employee 0,projmgr,Remote,4.5,12
Employee 0,projmgr,Remote,5.5,12
Employee 0,projmgr,Remote,7.5,12
Employee 0,projmgr,Remote,7.0,12
Employee 0,projmgr,Remote,6.5,12
Employee 0,projmgr,Stationary,7.0,12
Employee 0,projmgr,Remote,6.0,12
Employee 0,projmgr,Stationary,7.0,12
Employee 0,projmgr,Remote,7.5,12
Employee 0,projmgr,Remote,7.5,12
Employee 0,projmgr,Remote,5.5,12
Employee 0,projmgr,Remote,5.0,12
Employee 0,projmgr,Remote,5.5,12
Employee 0,projmgr,Remote,5.5,12
Employee 0,projmgr,Stationary,6.0,12
Employee 0,projmgr,Stationary,7.0,12
Employee 0,projmgr,Remote,8.0,12
Employee 0,projmgr,Stationary,4.5,12
Employee 0,projmgr,Remote,6.5,12
Employee 0,projmgr,Stationary,6.5,12
Employee 0,projmgr,Stationary,5.5,11
Employee 0,projmgr,Remote,6.5,11
Employee 0,projmgr,Stationary,6.5,11
Employee 0,projmgr,Remote,7.5,11
Employee 0,projmgr,Remote,4.5,11
Employee 0,projmgr,Remote,4.5,11
Employee 0,projmgr,Stationary,8.0,11
Employee 0,projmgr,Stationary,5.5,11
Employee 0,projmgr,Remote,6.0,11
Employee 0,projmgr,Remote,7.0,11
Employee 0,projmgr,Stationary,5.5,11
Employee 0,projmgr,Stationary,6.5,11
Employee 0,projmgr,Stationary,4.5,11
